ROUTE_BETWEEN_AIRPORTS,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
ORD->LGA,45680.0,37.13821138211382,4966.0,4.03739837398374,6956.0,5.6552845528455284,17830.0,14.495934959349594,0.0,0.0,15928.0,12.949593495934959
LGA->ORD,39985.0,32.50813008130081,2096.0,1.7040650406504065,4545.0,3.6951219512195124,15030.0,12.21951219512195,0.0,0.0,18314.0,14.889430894308942
LAX->SFO,32959.0,25.649027237354087,178.0,0.13852140077821012,3374.0,2.62568093385214,20137.0,15.670817120622567,0.0,0.0,9270.0,7.214007782101167
SFO->LAX,29190.0,22.751363990646922,500.0,0.3897116134060795,4883.0,3.8059236165237724,9673.0,7.539360872954014,20.0,0.01558846453624318,14114.0,11.000779423226811
BOS->LGA,24254.0,29.151442307692307,965.0,1.1598557692307692,5610.0,6.742788461538462,9478.0,11.391826923076923,0.0,0.0,8201.0,9.856971153846153
LGA->BOS,23397.0,28.12139423076923,2922.0,3.512019230769231,3435.0,4.128605769230769,6217.0,7.472355769230769,0.0,0.0,10823.0,13.008413461538462
DCA->LGA,18992.0,33.495590828924165,692.0,1.220458553791887,1791.0,3.1587301587301586,11352.0,20.021164021164022,0.0,0.0,5157.0,9.095238095238095
LAS->SFO,17187.0,25.12719298245614,106.0,0.15497076023391812,2150.0,3.1432748538011697,9696.0,14.175438596491228,0.0,0.0,5235.0,7.6535087719298245
ORD->ATL,16537.0,26.62962962962963,3890.0,6.264090177133656,3307.0,5.325281803542673,4138.0,6.663446054750403,0.0,0.0,5202.0,8.376811594202898
DTW->ORD,16001.0,30.420152091254753,3896.0,7.406844106463878,2445.0,4.64828897338403,3850.0,7.319391634980988,0.0,0.0,5810.0,11.045627376425855
SAN->SFO,15672.0,24.876190476190477,244.0,0.3873015873015873,1583.0,2.5126984126984127,8614.0,13.673015873015872,0.0,0.0,5231.0,8.303174603174604
MCO->EWR,15412.0,28.38305709023941,148.0,0.27255985267034993,3591.0,6.613259668508287,9529.0,17.548802946593003,5.0,0.009208103130755065,2139.0,3.9392265193370166
SEA->SFO,15247.0,22.893393393393392,20.0,0.03003003003003003,805.0,1.2087087087087087,12594.0,18.90990990990991,0.0,0.0,1828.0,2.744744744744745
LGA->DCA,15199.0,26.853356890459363,205.0,0.3621908127208481,2374.0,4.19434628975265,3422.0,6.045936395759718,0.0,0.0,9198.0,16.250883392226147
ORD->SFO,15158.0,32.80952380952381,1102.0,2.3852813852813854,2567.0,5.5562770562770565,7256.0,15.705627705627705,0.0,0.0,4233.0,9.162337662337663
DCA->BOS,15001.0,23.25736434108527,1374.0,2.130232558139535,2810.0,4.3565891472868215,5465.0,8.472868217054264,0.0,0.0,5352.0,8.297674418604652
BOS->ORD,14287.0,28.51696606786427,667.0,1.3313373253493015,3934.0,7.852295409181637,5617.0,11.211576846307386,15.0,0.029940119760479042,4054.0,8.09181636726547
ORD->DTW,14222.0,27.089523809523808,1041.0,1.9828571428571429,3496.0,6.659047619047619,2341.0,4.459047619047619,0.0,0.0,7344.0,13.98857142857143
ATL->ORD,14133.0,21.877708978328172,527.0,0.8157894736842105,3041.0,4.707430340557275,9244.0,14.309597523219814,0.0,0.0,1321.0,2.044891640866873
MSP->ORD,14076.0,22.666666666666668,3636.0,5.855072463768116,2019.0,3.251207729468599,5966.0,9.607085346215781,0.0,0.0,2455.0,3.9533011272141705
ORD->BOS,14068.0,28.362903225806452,1025.0,2.066532258064516,3311.0,6.675403225806452,4607.0,9.288306451612904,0.0,0.0,5125.0,10.33266129032258
SFO->ORD,13939.0,30.17099567099567,1111.0,2.4047619047619047,2552.0,5.523809523809524,6201.0,13.422077922077921,0.0,0.0,4075.0,8.82034632034632
ATL->LGA,13614.0,17.211125158027812,479.0,0.6055625790139064,1256.0,1.5878634639696587,8976.0,11.347661188369154,44.0,0.05562579013906448,2859.0,3.61441213653603
SFO->BOS,13467.0,34.61953727506427,35.0,0.08997429305912596,3454.0,8.87917737789203,5979.0,15.370179948586118,0.0,0.0,3999.0,10.280205655526993
JFK->BOS,13407.0,25.782692307692308,1852.0,3.5615384615384613,3803.0,7.313461538461539,4386.0,8.434615384615384,0.0,0.0,3366.0,6.473076923076923
ORD->MSP,12626.0,20.26645264847512,2625.0,4.213483146067416,3570.0,5.730337078651686,1501.0,2.409309791332263,0.0,0.0,4930.0,7.913322632423756
CVG->ORD,12551.0,28.986143187066975,326.0,0.7528868360277137,3321.0,7.669745958429561,5495.0,12.690531177829099,0.0,0.0,3409.0,7.8729792147806
SFO->SEA,12524.0,18.889894419306184,0.0,0.0,3299.0,4.975867269984917,2883.0,4.34841628959276,0.0,0.0,6342.0,9.565610859728507
SFO->LAS,12442.0,18.190058479532162,196.0,0.28654970760233917,2990.0,4.371345029239766,3592.0,5.251461988304094,0.0,0.0,5664.0,8.280701754385966
DCA->ORD,12429.0,18.946646341463413,512.0,0.7804878048780488,570.0,0.8689024390243902,7951.0,12.120426829268293,0.0,0.0,3396.0,5.176829268292683
EWR->BOS,12365.0,31.224747474747474,29.0,0.07323232323232323,2601.0,6.568181818181818,3935.0,9.936868686868687,0.0,0.0,5800.0,14.646464646464647
JFK->SFO,12289.0,19.537360890302068,629.0,1.0,1902.0,3.023847376788553,8812.0,14.009538950715422,0.0,0.0,946.0,1.5039745627980923
SFO->JFK,12148.0,19.313195548489666,0.0,0.0,2662.0,4.232114467408585,3435.0,5.461049284578697,17.0,0.02702702702702703,6034.0,9.593004769475357
EWR->ORD,12119.0,30.14676616915423,351.0,0.8731343283582089,1228.0,3.054726368159204,6444.0,16.029850746268657,0.0,0.0,4096.0,10.189054726368159
BOS->DCA,12110.0,18.804347826086957,1160.0,1.8012422360248448,2804.0,4.354037267080745,2304.0,3.577639751552795,85.0,0.13198757763975155,5757.0,8.93944099378882
BNA->ORD,11810.0,31.160949868073878,1036.0,2.733509234828496,2545.0,6.715039577836412,5869.0,15.485488126649077,0.0,0.0,2360.0,6.226912928759894
ORD->CVG,11807.0,27.018306636155607,2002.0,4.581235697940503,999.0,2.28604118993135,3580.0,8.192219679633867,0.0,0.0,5226.0,11.958810068649885
RDU->LGA,11773.0,29.58040201005025,0.0,0.0,535.0,1.3442211055276383,8415.0,21.14321608040201,0.0,0.0,2823.0,7.092964824120603
FLL->EWR,11772.0,24.576200417536533,35.0,0.07306889352818371,1011.0,2.1106471816283925,8664.0,18.08768267223382,0.0,0.0,2062.0,4.304801670146138
LAX->ORD,11691.0,17.986153846153847,536.0,0.8246153846153846,1788.0,2.750769230769231,7427.0,11.426153846153847,0.0,0.0,1940.0,2.9846153846153847
DTW->LGA,11620.0,28.203883495145632,1386.0,3.3640776699029127,902.0,2.1893203883495147,6894.0,16.733009708737864,20.0,0.04854368932038835,2418.0,5.868932038834951
PHL->BOS,11566.0,18.898692810457515,63.0,0.10294117647058823,1489.0,2.433006535947712,5544.0,9.058823529411764,0.0,0.0,4470.0,7.303921568627451
ORD->LAX,11548.0,17.820987654320987,2023.0,3.121913580246914,2655.0,4.097222222222222,2015.0,3.109567901234568,0.0,0.0,4855.0,7.492283950617284
